rax            0x55555555463a      93824992233018
rbx            0x0                 0
rcx            0x5555555546c0      93824992233152
rdx            0x7fffffffe608      140737488348680
rsi            0x7fffffffe5f8      140737488348664
rdi            0x1                 1
rbp            0x7fffffffe510      0x7fffffffe510
rsp            0x7fffffffe510      0x7fffffffe510
r8             0x7ffff7dced80      140737351839104
r9             0x7ffff7dced80      140737351839104
r10            0x0                 0
r11            0x0                 0
r12            0x555555554530      93824992232752
r13            0x7fffffffe5f0      140737488348656
r14            0x0                 0
r15            0x0                 0
rip            0x55555555463e      0x55555555463e <main+4>
eflags         0x246               [ PF ZF IF ]
cs             0x33                51
ss             0x2b                43
ds             0x0                 0
es             0x0                 0
fs             0x0                 0
gs             0x0                 0
